n_week,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
1,8.3,14.4,11.5,9.8,16.7,13.4,12.2,13.4,9.68510122798377,154.08001583883623,164.76805286856296,58.78967355917221,0.0,0.0,0.0,0.0
2,13.0,11.708333333333334,14.333333333333334,11.291666666666666,14.375,8.75,15.291666666666666,12.916666666666666,273.4901259589402,188.64916683076072,226.3038723265687,164.88188489194116,0.0,0.0,0.0,0.0
3,12.409090909090908,7.0,12.090909090909092,4.863636363636363,12.363636363636363,6.318181818181818,11.545454545454545,10.909090909090908,477.47767978792376,387.3359177315546,309.47012895591547,444.7539698436616,0.0,0.0,0.0,0.0
4,12.1,17.5,12.45,9.1,16.05,17.25,14.1,8.0,294.9358884197512,87.30225587924346,205.49904773377088,168.35381469073047,0.0,0.0,0.0,0.0
5,29.333333333333332,10.666666666666666,11.666666666666666,10.0,0.0,23.333333333333332,14.666666666666666,11.333333333333334,206.42790053566083,62.265922186080736,230.570633405139,0.0,0.0,0.0,0.0,0.0
6,6.0,18.2,4.6,0.0,0.0,13.4,9.0,15.0,102.60210762867311,306.01511951192026,253.34272778090318,218.0169849026488,0.0,0.0,0.0,357.7362176983951
7,13.5,12.214285714285714,10.5,7.285714285714286,15.214285714285714,4.142857142857143,8.428571428571429,9.785714285714286,129.64194102735968,338.42830619127426,476.6047890762538,309.08688799367076,0.0,0.0,0.0,719.6268964892827
8,6.086956521739131,16.565217391304348,11.91304347826087,8.782608695652174,9.782608695652174,6.130434782608695,12.608695652173912,11.217391304347826,156.56306577688468,142.05650106400054,269.6899088378045,240.16606825075812,0.0,0.0,0.0,454.1300155378667
9,11.25,1.125,6.75,15.5,11.25,18.875,6.25,5.5,111.66865812838924,91.40173673313721,143.54815818407462,113.75151745342345,0.0,0.0,0.0,252.9290479270614
10,15.916666666666666,10.0,15.666666666666666,9.583333333333334,12.208333333333334,19.166666666666668,16.125,16.291666666666668,269.0092016134309,216.85835419054797,248.45940661175447,212.90784019172963,0.0,0.0,0.0,479.02194691104233
11,20.923076923076923,20.923076923076923,5.0,12.153846153846153,15.0,11.307692307692308,14.0,9.307692307692308,282.8865871553006,520.4512867981138,268.28692451919267,269.1073254285211,0.0,0.0,0.0,795.3706248654348
12,14.538461538461538,13.846153846153847,15.153846153846153,8.884615384615385,12.307692307692308,5.5,18.923076923076923,13.192307692307692,163.00387773669473,255.52412839373497,177.59411583791967,171.57309870483155,0.0,0.0,0.0,504.7491491985619
13,10.0,18.0,10.090909090909092,8.363636363636363,13.272727272727273,8.909090909090908,8.818181818181818,5.363636363636363,120.2431254903498,74.49242527507826,28.46947150114121,20.968663585790917,0.0,0.0,0.0,237.72127036110422
14,13.666666666666666,9.291666666666666,6.375,10.125,12.625,7.958333333333333,18.5,15.0,291.1234514670493,218.0676930985496,287.75601128971203,199.69324754476943,0.0,0.0,0.0,557.4330948047922
15,14.416666666666666,12.833333333333334,11.0,5.916666666666667,9.625,12.333333333333334,12.875,16.541666666666668,298.6018169486016,484.8454803628581,365.10757834307196,379.8051811601401,0.0,0.0,0.0,824.7895129337172
16,11.296296296296296,16.74074074074074,10.185185185185185,10.185185185185185,14.185185185185185,12.296296296296296,7.185185185185185,16.074074074074073,164.69082938295594,181.20348038002817,159.13155753248333,197.3224270703229,0.0,0.0,0.0,502.08988868530764
17,10.0,16.8,15.5,17.3,20.6,13.8,14.6,7.0,166.77186143115915,114.83129970668422,24.71820610027596,121.88561066687996,0.0,0.0,0.0,295.5929390212239
18,10.833333333333334,17.0,13.666666666666666,13.38888888888889,14.722222222222221,13.0,11.11111111111111,9.5,263.8855259671934,177.82957017794695,230.0055730211346,182.91221062365116,0.0,0.0,0.0,509.44708062275356
19,16.3125,9.9375,2.3125,6.8125,6.375,13.75,12.0625,11.125,527.3864129292386,416.67861833537097,551.0049259623959,595.848562545127,0.0,0.0,0.0,800.3416415185816
20,13.181818181818182,11.0,6.181818181818182,3.090909090909091,9.636363636363637,13.272727272727273,24.454545454545453,9.636363636363637,160.88076800265372,239.35929118723882,190.49685908460515,202.22247280804658,0.0,0.0,0.0,600.9629483390337
21,16.285714285714285,15.0,6.142857142857143,9.428571428571429,14.857142857142858,5.142857142857143,14.857142857142858,20.285714285714285,200.47081217317512,40.50047244109472,44.792010071436906,90.95070209191672,0.0,0.0,0.0,171.14000815369243
22,10.935483870967742,19.93548387096774,11.774193548387096,11.67741935483871,17.580645161290324,9.064516129032258,10.03225806451613,11.419354838709678,116.27005841842661,233.2166245994233,181.73889702632175,148.04154196677632,0.0,0.0,0.0,573.7316616369326
23,16.115384615384617,14.807692307692308,9.807692307692308,10.538461538461538,12.192307692307692,16.307692307692307,17.576923076923077,16.576923076923077,329.62617423021493,370.9618142203857,334.62145633461506,349.40829607289413,0.0,0.0,0.0,760.4717640920372
24,7.658536585365853,13.78048780487805,11.609756097560975,16.414634146341463,9.097560975609756,13.146341463414634,7.2926829268292686,15.487804878048781,165.59588560685427,220.99847173758755,156.23763483773303,138.9448637856729,0.0,0.0,0.0,508.7062479698959
25,5.857142857142857,16.357142857142858,7.928571428571429,16.714285714285715,14.857142857142858,5.785714285714286,18.142857142857142,12.142857142857142,131.22150910217536,108.09627453225205,83.27331121580653,50.84197737391105,0.0,0.0,0.0,194.70468898301422
26,13.818181818181818,11.727272727272727,12.454545454545455,11.909090909090908,12.818181818181818,13.878787878787879,8.787878787878787,15.06060606060606,267.54880310413677,207.8021076132744,237.83384054637185,164.74494227506958,0.0,0.0,0.0,635.9354252976825
27,12.125,11.875,6.125,13.0,21.125,6.0,26.5,5.5,468.295600358565,249.49531096534696,433.8101884069785,222.75584374851383,0.0,0.0,0.0,970.563951978442
28,13.625,9.208333333333334,11.25,7.708333333333333,11.375,11.625,11.083333333333334,8.5,203.22477453845897,157.0599667792676,257.28153244897334,181.2787505113763,0.0,0.0,0.0,501.68625739645745
29,9.692307692307692,9.038461538461538,11.807692307692308,9.192307692307692,10.115384615384615,9.76923076923077,11.423076923076923,11.192307692307692,97.13034460678946,78.34106384514135,56.94399076564908,96.80314238301465,0.0,0.0,0.0,266.2462924660791
30,6.714285714285714,16.857142857142858,20.571428571428573,13.714285714285714,9.142857142857142,11.714285714285714,12.0,14.714285714285714,107.73587686626911,217.64830437430487,85.77302636412074,122.81930841673372,0.0,0.0,0.0,509.0298888087442
31,8.521739130434783,11.26086956521739,14.695652173913043,12.478260869565217,6.0,13.73913043478261,10.434782608695652,13.391304347826088,252.64240290683628,294.62134939758715,208.26154608585912,267.0925349875291,0.0,0.0,0.0,912.2067234471501
32,23.555555555555557,21.0,14.222222222222221,19.555555555555557,8.666666666666666,7.555555555555555,21.0,19.77777777777778,140.01617696992386,341.0330915953911,182.02432351557266,198.33004171113285,0.0,0.0,0.0,585.0480664781198
33,18.916666666666668,11.916666666666666,14.541666666666666,11.375,18.666666666666668,10.791666666666666,9.916666666666666,9.666666666666666,129.55501245554515,92.15203823956965,81.41643251289409,77.88011939606157,0.0,0.0,0.0,241.08437867465457
34,9.333333333333334,15.818181818181818,12.93939393939394,14.303030303030303,13.242424242424242,10.515151515151516,15.696969696969697,11.333333333333334,135.21371976369468,239.01863465260664,166.77316180875818,279.97715098494973,0.0,0.0,0.0,549.665033897873
35,11.409090909090908,21.136363636363637,13.136363636363637,9.409090909090908,16.454545454545453,15.5,12.772727272727273,10.181818181818182,443.44250441239086,370.16049057060894,377.17831617180906,543.4450762856214,0.0,0.0,0.0,910.1887457101907
36,13.61111111111111,15.055555555555555,8.38888888888889,16.444444444444443,6.388888888888889,11.722222222222221,7.555555555555555,13.277777777777779,64.36798207809555,331.846577074534,85.81489956889959,259.20068496492104,0.0,0.0,0.0,653.1548897575881
37,12.652173913043478,9.347826086956522,9.304347826086957,11.217391304347826,7.869565217391305,14.26086956521739,12.217391304347826,15.478260869565217,58.51556109260304,110.59493557919181,119.34491838676449,83.9016665514876,0.0,0.0,0.0,327.0320866098402
38,17.352941176470587,11.176470588235293,10.705882352941176,16.58823529411765,9.941176470588236,8.823529411764707,13.411764705882353,15.588235294117647,270.50429546413255,254.45296479001877,150.68600969277108,227.94309153384035,0.0,0.0,0.0,649.3594803691108
39,15.75,24.5,11.375,14.125,5.625,8.75,10.25,6.0,224.04373849025944,632.394355128119,276.7587447803284,182.78116475429965,0.0,0.0,0.0,989.0190989837737
40,13.478260869565217,13.0,13.478260869565217,18.434782608695652,14.173913043478262,12.695652173913043,12.608695652173912,8.347826086956522,254.77138447030032,206.14144060922902,270.81629383420324,123.81815105739925,0.0,0.0,0.0,731.7217270023691
41,15.80952380952381,14.952380952380953,11.904761904761905,7.190476190476191,12.333333333333334,11.0,12.857142857142858,17.857142857142858,60.76565308450042,53.68116096501523,45.115021607765556,89.1054278180318,0.0,0.0,0.0,332.23657480357235
42,16.428571428571427,11.428571428571429,11.142857142857142,16.285714285714285,16.714285714285715,9.142857142857142,7.285714285714286,26.714285714285715,326.2896326854924,0.9447894225772063,442.7345302191607,181.54272278507992,0.0,0.0,0.0,684.6758079398072
43,35.0,17.0,14.0,2.0,9.5,23.5,33.5,0.0,193.97033050522668,877.7917154620375,0.0,177.30233308282317,0.0,0.0,0.0,1004.4833901711883
44,12.090909090909092,3.3636363636363638,3.8181818181818183,7.636363636363637,13.818181818181818,8.090909090909092,8.090909090909092,6.7272727272727275,227.53261111055818,195.09247484927712,202.60279211962654,89.47298767047697,0.0,0.0,0.0,633.0148866688783
45,7.083333333333333,7.916666666666667,15.0,14.75,11.75,14.0,7.833333333333333,18.166666666666668,90.48380830991293,83.43478472904874,63.14813142278587,202.62545110747337,0.0,0.0,0.0,318.1749222183213
46,15.142857142857142,15.285714285714286,15.285714285714286,4.571428571428571,13.0,9.428571428571429,8.857142857142858,7.142857142857143,161.30786495974857,245.9578200778753,284.13943563961163,162.96067522679263,0.0,0.0,0.0,425.3976366783576
47,9.11111111111111,7.666666666666667,12.88888888888889,20.11111111111111,10.88888888888889,22.0,8.11111111111111,28.0,635.8358405085969,285.5522852423387,424.0316261904466,345.6971575311438,0.0,0.0,0.0,511.3716020789777
48,12.703703703703704,10.925925925925926,10.0,9.481481481481481,18.333333333333332,7.814814814814815,12.777777777777779,13.444444444444445,191.70520729959628,228.7472240705385,213.90035740100615,242.99205407919592,0.0,0.0,0.0,547.5065524026027
49,19.666666666666668,21.666666666666668,7.533333333333333,13.666666666666666,14.466666666666667,11.466666666666667,12.266666666666667,12.533333333333333,115.97891946424238,143.18997154796725,63.385730465933875,26.18812623443068,0.0,0.0,0.0,614.301163129717
50,8.727272727272727,8.454545454545455,9.909090909090908,13.636363636363637,10.545454545454545,8.636363636363637,12.727272727272727,12.545454545454545,240.5594939894234,227.40896654700967,182.60388424802338,111.36738025314516,0.0,0.0,0.0,852.9306035877918
51,1.4666666666666666,7.066666666666666,17.8,18.533333333333335,4.266666666666667,13.533333333333333,7.333333333333333,12.533333333333333,335.84248458175745,395.9326258634458,359.86437522377656,257.3538180635225,0.0,0.0,0.0,938.8920748650552
52,16.642857142857142,18.214285714285715,12.428571428571429,11.071428571428571,5.857142857142857,17.5,12.642857142857142,8.571428571428571,206.06706367941368,219.99755150316318,265.0305146875251,140.39405405010635,0.0,0.0,0.0,1002.0579324791458
53,17.8,12.8,9.2,4.0,15.2,14.8,23.8,18.0,27.593513013201523,76.04330376649452,32.806046041541926,170.15429736169162,0.0,0.0,0.0,1060.7600353757948
54,17.541666666666668,15.333333333333334,9.416666666666666,17.625,11.666666666666666,10.125,13.958333333333334,10.333333333333334,215.39148191884206,263.4041975396785,220.3718181419201,162.01111786539028,0.0,0.0,0.0,1117.6197707826302
55,13.95,11.1,3.15,12.7,9.65,7.7,11.1,12.85,316.5798319303835,336.19435940644456,396.26670707798456,244.13682748142145,0.0,0.0,0.0,1236.5620638101796
56,13.470588235294118,11.470588235294118,15.294117647058824,11.941176470588236,7.764705882352941,9.764705882352942,14.823529411764707,13.941176470588236,150.79595540272953,244.55497679301092,156.13477846587617,165.32460793825322,0.0,0.0,0.0,1235.1875328805465
57,12.421052631578947,9.789473684210526,17.842105263157894,16.842105263157894,7.157894736842105,10.842105263157896,9.368421052631579,14.368421052631579,62.85406252064731,99.36608481521199,21.834224296556723,24.985910350749418,0.0,0.0,0.0,1222.8832953278038
58,25.0,6.4,6.733333333333333,9.933333333333334,13.933333333333334,15.2,13.6,17.333333333333332,159.35717788193458,170.8220233366665,289.8504473622454,214.94063399848173,0.0,0.0,0.0,1124.2065447451212
59,15.529411764705882,6.0,17.0,17.764705882352942,12.823529411764707,9.470588235294118,10.058823529411764,15.058823529411764,438.66349146135485,354.62227982329057,269.9527244414082,252.72110616681644,0.0,0.0,0.0,1023.0181965743277
60,8.225806451612904,7.612903225806452,14.870967741935484,9.838709677419354,8.129032258064516,8.612903225806452,8.612903225806452,10.741935483870968,148.2879505575774,198.18880469969767,197.4530716568365,268.45503767731,0.0,0.0,0.0,792.6215959160677
61,10.464285714285714,15.821428571428571,17.071428571428573,9.642857142857142,13.5,14.464285714285714,11.321428571428571,14.857142857142858,79.94783657774535,138.94540549339672,148.81073589981148,98.19684198657148,0.0,0.0,0.0,714.8508150598037
62,15.444444444444445,11.166666666666666,13.277777777777779,20.61111111111111,13.333333333333334,13.722222222222221,17.333333333333332,10.277777777777779,165.79268988034508,311.7828916244305,97.49005661739372,198.1184945694207,0.0,0.0,0.0,665.1419999818636
63,8.0,16.75,26.0,6.75,22.75,18.25,16.0,13.0,326.751727705839,389.74741516748844,540.6465358375178,436.8409837065224,0.0,0.0,0.0,520.4216652261371
64,7.722222222222222,12.5,12.777777777777779,12.11111111111111,18.666666666666668,10.944444444444445,16.88888888888889,9.555555555555555,212.1786163317123,195.4403069592175,206.8851549971231,185.82663509592257,0.0,0.0,0.0,393.084230848046
65,15.3,12.8,2.2,9.6,12.3,13.3,7.9,18.8,67.53269945308719,101.95991310809367,157.99405706818766,59.80042752530248,0.0,0.0,0.0,386.8982721143464
66,20.77777777777778,18.88888888888889,6.666666666666667,19.22222222222222,14.444444444444445,17.666666666666668,8.11111111111111,5.111111111111111,267.5018524081686,151.39829859364033,200.330081749735,182.31091880293536,0.0,0.0,0.0,393.78457959847304
67,16.142857142857142,21.857142857142858,18.857142857142858,9.857142857142858,3.7142857142857144,13.285714285714286,15.0,16.571428571428573,210.11123790889317,458.0405949168145,376.8233188435205,536.6322302049974,0.0,0.0,0.0,238.56740747312293
68,18.4,12.766666666666667,6.8,6.666666666666667,14.3,13.133333333333333,12.366666666666667,14.7,181.72776315266623,205.87759462215746,228.91861981885924,133.87701165445154,0.0,0.0,0.0,317.88333126196017
69,7.36,15.68,11.16,11.52,16.4,7.56,14.64,8.56,102.49244467528024,41.15862015572847,22.201164443910585,62.83682608004196,0.0,0.0,0.0,357.28146581618154
70,12.766666666666667,11.733333333333333,13.333333333333334,12.666666666666666,11.266666666666667,9.966666666666667,14.533333333333333,11.166666666666666,255.37873216933042,219.86631802453223,163.59254161851248,255.6077268799741,0.0,0.0,0.0,442.5877830984451
71,7.041666666666667,13.541666666666666,9.541666666666666,7.25,8.958333333333334,15.041666666666666,12.541666666666666,9.916666666666666,349.38958105984466,367.9798174613027,373.57456607027785,337.04985085195113,0.0,0.0,0.0,621.6177433697062
72,6.1875,8.5625,7.1875,12.8125,20.125,12.8125,8.0,6.625,191.98492770864692,101.44621506737948,200.07071571256137,161.17713117457342,0.0,0.0,0.0,650.7546056735805
73,42.25,0.0,1.5,11.75,7.0,2.0,7.25,21.75,105.67327402487695,97.3760510118351,76.81052704843327,0.0,0.0,0.0,0.0,802.0594888120727
