n_week,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
1,0.0,19.666666666666668,7.333333333333333,29.0,8.0,2.3333333333333335,23.333333333333332,27.666666666666668,103.1468779120952,179.7843926585573,65.4285165303976,0.0,0.0,0.0,0.0,0.0
2,12.923076923076923,8.846153846153847,5.538461538461538,7.846153846153846,15.538461538461538,13.692307692307692,10.076923076923077,19.384615384615383,59.62493824122992,276.0006344091026,173.10162623106302,225.25744437538162,0.0,0.0,0.0,0.0
3,14.833333333333334,4.0,4.0,11.666666666666666,7.5,8.0,12.666666666666666,12.833333333333334,400.09709067714374,242.81585938148018,172.99025698781188,96.14466241924242,0.0,0.0,0.0,0.0
4,10.571428571428571,11.678571428571429,13.75,17.642857142857142,10.75,9.607142857142858,11.0,14.071428571428571,167.72619340134727,197.0543129407499,258.54551512652733,97.10731524383952,0.0,0.0,0.0,0.0
5,20.41176470588235,9.235294117647058,15.823529411764707,6.411764705882353,12.588235294117647,8.588235294117647,10.411764705882353,12.294117647058824,80.93161478117594,96.17771595629705,33.86769264113305,72.17011111615346,0.0,0.0,0.0,0.0
6,7.2,5.8,5.4,6.8,3.0,12.2,4.0,7.6,134.96012368234136,147.84043690272875,213.456923642201,104.5001662996173,0.0,0.0,0.0,419.7168100752665
7,18.90909090909091,17.181818181818183,11.090909090909092,12.272727272727273,1.6363636363636365,13.454545454545455,15.818181818181818,12.363636363636363,355.88092723459954,381.59880749416476,490.1731946408317,347.5194642106832,0.0,0.0,0.0,664.0505095640841
8,15.434782608695652,7.739130434782608,13.956521739130435,8.173913043478262,9.478260869565217,13.869565217391305,5.565217391304348,12.478260869565217,331.2922396332264,76.25520676166296,259.96097090712146,78.89624068923145,0.0,0.0,0.0,406.8258917802523
9,11.925925925925926,12.0,10.814814814814815,11.185185185185185,10.555555555555555,5.185185185185185,17.444444444444443,9.37037037037037,80.84400148815848,42.692274785851026,57.397644671524866,130.4709106339699,0.0,0.0,0.0,213.23761763983882
10,30.0,0.0,24.5,7.0,23.0,0.0,22.0,2.5,19.599812055153564,10.2066039847516,0.0,0.0,0.0,0.0,0.0,462.10598423021077
11,16.692307692307693,12.923076923076923,4.3076923076923075,17.846153846153847,8.384615384615385,20.615384615384617,11.846153846153847,10.923076923076923,208.75077899962992,573.8033986322672,645.3535742333271,418.40524574135264,0.0,0.0,0.0,690.6638098222581
12,11.875,12.78125,9.6875,14.375,9.8125,14.9375,10.28125,12.125,199.62899690357105,139.87205646749794,206.4020320770622,180.7875134999845,0.0,0.0,0.0,493.8385578703919
13,11.818181818181818,13.454545454545455,15.772727272727273,12.272727272727273,7.318181818181818,9.045454545454545,15.954545454545455,15.090909090909092,40.52111400053104,81.45249761185401,102.00459056902245,62.7905180360053,0.0,0.0,0.0,221.1585350875468
