,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15,n_week,week_year,month_year
0,0.0,60.08,22.89,88.08,25.13,7.5,72.02,84.85,114.15,539.35,101.54,-136.74,0.0,0.0,0.0,0.0,1,2020-01,2020-01
1,171.04,117.25,74.26,104.71,205.19,180.77,134.33,256.22,775.12,3588.01,2250.32,2928.35,0.0,0.0,0.0,0.0,2,2020-02,2020-01
2,135.33,22.37,23.35,59.2,56.64,72.14,66.83,73.51,2151.05,1647.3,1389.08,865.3,0.0,0.0,0.0,0.0,3,2020-03,2020-01
3,473.71,251.51,342.54,466.3,329.13,370.97,289.33,340.5,6298.35,6051.3,9686.79,3509.57,0.0,0.0,0.0,0.0,4,2020-04,2020-01
4,507.55,165.64,339.12,115.03,258.36,211.77,160.79,186.51,1584.54,1466.52,329.27,1501.28,0.0,0.0,0.0,0.0,5,2020-05,2020-02
5,65.22,28.72,36.43,30.61,19.22,85.61,18.05,32.19,678.81,675.85,1273.68,632.94,0.0,0.0,0.0,2098.58,6,2020-06,2020-02
6,313.68,170.95,135.04,122.66,19.3,227.26,130.78,105.67,4571.77,4341.2,9620.03,5140.81,0.0,0.0,0.0,10956.83,7,2020-07,2020-02
7,714.24,220.54,441.0,206.22,199.87,502.15,142.79,257.32,11898.61,2411.31,13710.34,3423.67,0.0,0.0,0.0,16022.35,8,2020-08,2020-02
8,620.62,349.26,423.47,302.66,386.31,223.23,437.47,227.51,2867.15,650.19,863.22,4638.23,0.0,0.0,0.0,8090.76,9,2020-09,2020-03
9,109.78,0.0,66.8,16.27,64.23,0.0,56.42,4.64,49.3,20.27,0.0,0.0,0.0,0.0,0.0,1264.08,10,2020-10,2020-03
10,519.42,157.71,99.29,226.92,195.25,278.93,212.8,97.84,2795.77,6062.51,10659.28,7496.6,0.0,0.0,0.0,15505.5,11,2020-11,2020-03
11,817.18,571.82,439.95,600.54,469.66,745.14,407.16,392.64,9871.35,5456.55,12587.57,11960.06,0.0,0.0,0.0,30597.76,12,2020-12,2020-03
12,514.78,417.88,629.25,337.0,249.23,294.1,414.25,347.62,-273.34,1499.02,3283.0,2057.92,0.0,0.0,0.0,7774.81,13,2020-13,2020-04
13,316.25,351.1,426.01,396.6,262.39,308.36,296.65,220.2,3524.79,4096.39,5742.43,3480.17,0.0,0.0,0.0,17559.06,14,2020-14,2020-04
14,364.79,226.42,367.97,279.79,247.0,252.59,405.3,140.92,6975.71,7034.95,3734.27,11991.51,0.0,0.0,0.0,21976.87,15,2020-15,2020-04
15,751.31,356.13,614.57,151.31,468.52,199.81,201.94,160.31,4115.47,5507.54,4554.45,7999.85,0.0,0.0,0.0,14528.97,16,2020-16,2020-04
16,496.38,447.24,595.56,298.95,428.16,499.02,308.67,308.66,1703.7,120.94,3395.18,2132.77,0.0,0.0,0.0,4143.0,17,2020-17,2020-04
