n_week,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.5,0.8658190371072241,0.9391148302792274,0.8253169755368639,1.2195655647326664,1.492370936510547,0.8616679981771286,0.9257160828887804,0.8960522799168511,1.130689455294415,1.3383036595788398,1.5,1.0,1.0,1.0,1.0
4,1.5553308360512197,0.7501187043947812,0.8743146555554105,0.9238453841201973,1.0652631356535982,1.339460958362641,0.9167269091560298,0.8482377036277933,1.34112057290169,1.096743393508266,1.3380884018370272,1.2907555009320117,1.0,1.0,1.0,1.0
5,1.4443739124477033,1.0292368258749187,1.2412142706585232,1.039633312709325,1.1788940684195819,1.4065076557445588,0.8866148504139945,0.8686802737389276,1.1516895622620964,1.0452222017938602,1.5002402153525516,1.2939864110446984,1.0,1.0,1.0,1.0
6,1.7581586577177202,0.975600583185919,1.2879202331425135,0.8795505881496558,1.229168940990814,1.369249973960395,0.8747645345730242,0.8412867213134052,1.0059342665839206,0.9143006821740661,1.1933825801967244,1.2113658778272958,1.0,1.0,1.0,1.0
7,1.4831945084884879,0.8859077617939296,1.0831713050413276,0.8928608196192819,1.0058057678524714,1.5111239349275238,0.7441909721266954,0.7619436655162493,1.1678510271432978,1.0342123778253915,1.7841623079808693,1.3448057148125492,1.0,1.0,1.0,1.5
8,1.9810391462874284,1.2197094403074487,1.3447763975197282,1.063399959939708,0.8934377394780654,1.5499375595718787,1.0794325436808998,0.8775779239960608,1.561553815439585,1.3748486006709617,2.2930431329172762,1.8974808734181947,1.0,1.0,1.0,1.712339306468045
9,1.8902965135753884,1.0562234322296973,1.4311604856747928,0.9754282445757628,1.3328077380624908,1.561888980037512,0.910394172684671,0.8796119375435808,1.5345916431199749,1.1136127011967385,2.0286505281507274,1.5480337752493973,1.0,1.0,1.0,1.5485604030011784
10,1.7833244734587288,1.198038245785993,1.350957912597329,1.0642628179975775,1.3706385960038954,1.3250828929767902,1.2692861678192595,0.8251233176116488,1.2576301474829519,0.9930170417184038,1.6523173719389752,1.792382125227005,1.0,1.0,1.0,1.3677388206465817
11,2.3537725303911805,0.921221231570297,1.7291669125993838,0.9658539052280548,1.7335267941951706,1.018911123158638,1.3516858207908387,0.6803080332113542,1.0302207232914204,0.8127300412680555,1.2705352685330904,1.3782368590102256,1.0,1.0,1.0,1.7269335144108182
12,2.096942849557016,1.3818318473554454,1.391768350931563,1.2795964403275093,1.467041177162449,1.5283666847379571,1.1984329280587105,0.997827492971707,1.5452647599190983,1.2190950619020833,1.9058029027996355,2.0673552885153383,1.0,1.0,1.0,1.9362198605073027
13,1.9466926980666692,1.3780405870919656,1.7774365523205933,1.2175701093203597,1.5293492695649076,1.4237913042588177,1.1589114571059342,1.0252488707090985,1.5283865882013328,0.9990042942293311,1.5936759858408405,1.78147840975039,1.0,1.0,1.0,1.7992000299641817
14,1.9443641227266788,1.396184625464804,2.0477320888301396,1.1731333775481672,1.4326798542018788,1.2851814368061436,1.3148492492449337,1.0876349133217342,1.239007650657908,0.8961825836971231,1.3963461034061684,1.5006908881927794,1.0,1.0,1.0,1.556960092405403
15,1.7846663788537545,1.3649564160763437,1.868717274728219,1.2754847298330183,1.5122158063323674,1.3805378018784566,1.2135830005119792,0.9941417591022214,1.7654160291553134,1.217790462101788,1.7233124843494936,1.8006263669278615,1.0,1.0,1.0,2.0627715099959274
16,2.079973820138344,1.326462829682567,1.9961632667879572,1.233286440578383,1.5845074515207307,1.3878808110496916,1.4896353110237377,0.9794273785131427,2.1202086537626417,1.4185712102598342,1.5961000121003739,2.6005009271139654,1.0,1.0,1.0,2.1958944811929935
17,2.3688798880694955,1.464895162414094,2.1770492229101954,1.0782405337030854,1.819027058284282,1.2799115260556424,1.257823249360169,0.9848154623567708,1.8276919470287418,1.2770400655383178,1.6605692277760071,2.2262384241369384,1.0,1.0,1.0,1.9518789984883549
18,2.0471748396202467,1.4215257120393314,2.006040209250874,1.2752411380608688,1.6409815226761661,1.6022424680971175,1.3834526865665353,1.0992536552770766,1.6609443970966113,1.037197179662789,1.5200572165626691,1.9085612299909134,1.0,1.0,1.0,1.6654153568123506
19,2.1846023917474082,1.5239130303585888,1.9743976299772656,1.3221270454449858,1.767775974094821,1.6799040154141067,1.3324133740327513,1.1198326578002142,2.0333766061993446,1.4223934637431357,1.6658118738067593,2.650847009512829,1.0,1.0,1.0,2.285904104254523
