month_year,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
01-2020,1289.7831053906962,1221.4130555093857,1390.9615267067245,1083.417922264884,1268.089181334324,1148.209874871974,1178.1128521713417,1250.6818932477854,19332.086353490235,18122.524792253815,19483.88672205662,20140.751956026503,0,0,0,0.0
01-2021,455.6247487341782,457.598936453332,462.9143263804422,752.7340248929784,659.5315317944415,637.7243925597505,530.2332880638066,670.148588644493,11956.968956008155,13179.787427043926,8239.05011606768,10809.415648392116,0,0,0,53997.48733101565
01-2022,1049.033774724122,902.7394070512156,893.0895283993787,665.418085613478,855.961651552339,688.4150802915494,924.3426793151303,746.1987604396589,14880.961267894805,15249.310365683335,15372.153496902314,18119.846025527215,0,0,0,86582.29703561004
02-2020,914.997832937263,936.4943816841625,924.8123994894593,679.4924239036502,1009.8422715167096,1112.8962047234716,762.912335768777,940.1319146036398,18231.42708683062,15779.021891413211,16740.51938362959,15048.401324736493,0,0,0,35224.5421464909
02-2021,1075.0554186610484,1129.770780210185,955.5134599967117,977.507352841226,957.6282236432979,667.0169850527624,1175.9499747122327,930.2842802555144,11976.814147063315,13839.047538574165,14706.239788249964,15267.736281563171,0,0,0,73129.51098530226
02-2022,561.3391990636852,1044.3877797576902,484.16755358787117,741.7502653051472,359.23558019647714,691.0580315236598,479.9793225314976,596.6337925686764,12112.134605419034,10826.800658244769,11257.357917534793,12866.707048838221,0,0,0,35580.547829503055
03-2020,1162.3529033987827,1233.7671367292671,1254.3151170517344,1294.5588103753014,1634.9343840004494,1304.5208890956083,1291.0427230733621,1398.7165108168615,27554.546680628762,26614.023476634266,21174.23583267945,23194.74682996466,0,0,0,53339.35457705903
03-2021,1094.0420892513662,1033.6022246162886,1206.7441568040354,984.7310292048041,835.97806035531,1119.7850146223395,1211.4988594136707,1121.3987981430153,11721.813523915822,17145.907995815913,17490.087481520983,19575.061030520887,0,0,0,41633.38842231349
03-2022,1094.5380260504417,878.5070366050363,1323.0968387710502,977.8682120142772,890.4154894207569,1161.8625948117583,1048.5617428115079,1198.4561908492926,18403.554097317992,12306.069668918693,17317.33889843443,12154.92664717489,0,0,0,51538.108383754115
04-2020,1143.8847242560967,1443.3623734648024,1287.2271255212859,1119.827560236436,1385.5379180613004,1157.0923511107478,848.4437485077985,1130.3657534718425,14415.534375907542,14223.373594601426,12202.059250889974,11221.160903306663,0,0,0,30982.56021035205
04-2021,1163.3148816942487,1307.5842757293497,1170.0993811059573,991.3821170335276,1176.458024188792,1241.486332875099,1264.482645820955,1237.685760519044,9808.515798939652,13302.07057174325,14100.086080755791,9171.858307117505,0,0,0,25473.85275637988
04-2022,797.6789618848456,895.4327530550382,869.3191785121064,888.8872619749086,619.102585564691,868.0491298854863,994.3827325370179,916.7014595503465,10741.056435388438,16046.957177626373,14090.948651421872,14857.633377802858,0,0,0,59356.072895596524
05-2020,1078.129170209447,967.820041855809,1036.6787313329787,1159.135780843053,782.9432819294972,796.4275145212413,746.0614308872568,876.4369153295565,12055.026400556217,18566.666108667592,12412.05589106738,14281.825282126443,0,0,0,45119.871954557086
05-2021,783.2034554444643,672.1470486960114,777.1158196025009,464.25854559389404,863.7049876768922,776.5442550963992,679.679352623319,785.5520119065925,14796.487990575968,15222.812399763883,13705.583992232916,16176.837338902485,0,0,0,34886.39779453222
