n_week,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
1,8.0,11.923076923076923,10.461538461538462,11.692307692307692,11.615384615384615,12.846153846153847,7.884615384615385,13.076923076923077,45.42343526000442,118.39560629561225,108.63292806338062,91.92746288318071,0.0,0.0,0.0,0.0
2,16.58823529411765,11.529411764705882,18.058823529411764,13.411764705882353,11.235294117647058,12.117647058823529,6.176470588235294,11.941176470588236,150.23350176864244,117.75526537192634,225.7391350063217,124.70688179726689,0.0,0.0,0.0,0.0
3,11.217391304347826,10.826086956521738,20.91304347826087,9.652173913043478,11.434782608695652,9.217391304347826,15.08695652173913,12.956521739130435,231.63170321494997,297.6720234465467,276.7645286500775,444.9818296368305,0.0,0.0,0.0,0.0
4,15.088235294117647,13.0,8.970588235294118,9.088235294117647,14.294117647058824,10.911764705882353,14.647058823529411,11.264705882352942,337.1386452846462,200.57565282686173,204.1582520224005,208.31352492073208,0.0,0.0,0.0,0.0
5,7.1,7.0,7.7,16.1,8.3,17.0,6.1,8.8,111.46837263055374,70.1156308381795,79.28725678094065,55.92145266598611,0.0,0.0,0.0,0.0
6,14.038461538461538,15.538461538461538,13.846153846153847,8.038461538461538,15.5,17.384615384615383,10.115384615384615,14.5,369.3268539422489,196.5162034498952,199.43419844993318,162.39644773972202,0.0,0.0,0.0,486.2107618971041
7,10.909090909090908,10.227272727272727,13.318181818181818,8.5,11.136363636363637,14.227272727272727,14.045454545454545,13.454545454545455,262.0429263793194,368.37230195366715,362.83422377753595,365.2471142495336,0.0,0.0,0.0,750.3556819287592
8,17.076923076923077,16.923076923076923,13.538461538461538,8.076923076923077,20.076923076923077,12.23076923076923,8.76923076923077,12.615384615384615,142.74700205240848,175.09911899805286,252.79520994302695,171.64943410416302,0.0,0.0,0.0,467.32594882565303
9,13.64,13.72,14.0,11.28,18.64,9.64,11.24,7.24,76.61508225411247,110.21333350002689,124.14950763603132,88.34049673618054,0.0,0.0,0.0,138.50650170718234
10,9.176470588235293,8.117647058823529,5.647058823529412,12.588235294117647,14.558823529411764,10.823529411764707,10.235294117647058,13.088235294117647,211.9028041842562,227.69985710514965,214.90518218638735,209.5138579119233,0.0,0.0,0.0,476.93594109865535
11,9.972222222222221,10.694444444444445,14.5,10.416666666666666,10.416666666666666,12.38888888888889,13.5,13.11111111111111,418.14826243520616,389.2041131419691,188.72666008999758,311.55836427992375,0.0,0.0,0.0,707.939053444087
12,6.2,10.35,8.1,9.05,13.5,11.2,7.3,13.7,201.64856537875326,122.09475921867349,209.09658477291205,174.92446315394096,0.0,0.0,0.0,482.04262447438697
