n_week,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.2452675327240743,0.9917464803190097,1.173973268497599,1.0366985918197642,0.9918199741693705,0.9858262711005025,0.9460501536757855,0.9783008354907521,1.4094881102297918,0.9986478819130139,1.246115159271917,1.0882120973965934,1.0,1.0,1.0,1.0
4,1.1453425370454604,0.9766263751141787,1.2202639368498736,0.9645186968030677,0.9962224283937849,0.9271189714827585,1.2382516503107672,0.9990842795491329,1.595869881854417,1.3199098798950089,1.316233895408755,1.5548245846226798,1.0,1.0,1.0,1.0
5,1.2431809379593792,1.0254897251020392,1.0506398021919687,0.9504344431037736,1.058177763866962,0.969605969025733,1.2292262139536103,0.9665163355123235,1.7745191818308124,1.2132202161892123,1.2304005547257295,1.3528264955293183,1.0,1.0,1.0,1.0
6,1.0823739239779664,0.9092206450971809,1.0134988907780451,1.1251716561728664,0.9488408256575414,1.1014514571937937,1.054823346677697,0.9138580526454839,1.4881793425169354,1.0226149411913112,1.0479144130583318,1.1158848238823416,1.0,1.0,1.0,1.0
7,1.3275985505676375,1.156551272769994,1.205647838373571,0.9871944015499629,1.1426121122491393,1.1076811205236852,1.2224024591291744,1.0568751254735456,2.098290618124918,1.389204707636021,1.3830907344599548,1.5291468380039588,1.0,1.0,1.0,1.5
8,1.253918300223373,1.0586724223330999,1.1941559969523359,1.0013607645626044,1.0627206272953547,1.0575254632425044,1.3396642724694283,1.0378331168807826,1.9469726510567775,1.674941919071779,1.651536955821941,1.9529428127958424,1.0,1.0,1.0,1.6988600220371919
9,1.426579738731844,1.2260157201224724,1.199093652032023,0.9889029648921904,1.2652524481334175,1.0204857693365121,1.215310810982206,1.0216559316209173,1.7291306698759863,1.4601496006944945,1.5272699728568655,1.7000488618002894,1.0,1.0,1.0,1.5405327658797996
10,1.355042241880412,1.16817545562202,1.2093122105629708,1.0856805997182957,1.242623298749933,0.9666461128196766,1.3003537435555597,0.9144419094117981,1.5323691879066472,1.3264061112143664,1.3370531982376448,1.4977279704956388,1.0,1.0,1.0,1.2801986321877088
11,1.2451656016519435,1.0505535990694381,1.0340987040577905,1.117124211295821,1.174876485363878,0.9962783541682524,1.2713145118053986,1.0896796375165905,2.074729655992734,1.6498289445754448,1.5710761361413954,1.9435246779123125,1.0,1.0,1.0,1.817983030168917
12,1.2721428068668148,1.1332302520659514,1.3727212196780434,1.0690651776732878,1.0918691128852858,1.03223753710513,1.3718400455751827,1.0901557770622088,2.5431563083888316,1.930701284721707,1.5232903307006243,2.175605083212039,1.0,1.0,1.0,2.0339123928599134
13,1.1532527934075414,1.1241063296506864,1.2236606570180653,1.0340500530039873,1.17208261516844,1.0074920813452806,1.2170437588234033,1.1023948755265338,2.221133178725932,1.6118604076565854,1.5643539793098793,1.9408280205576764,1.0,1.0,1.0,1.8730248051974359
14,1.4074670461280665,1.1660208478339313,1.3358107791053384,1.0788043906984914,1.1694630354551656,1.0693707885629125,1.2390237643231468,1.044822155254396,1.952363739641932,1.5786407518672705,1.3874575295734848,1.705008477721477,1.0,1.0,1.0,1.5671003658097356
15,1.5906478241697395,1.3734725490313504,1.3427246666030437,1.0461533155993077,1.3316301557914396,1.055676596445093,1.4909191054644082,1.0369200426665035,2.555319230678705,1.7823216373746402,1.6340275939019664,2.231562533932266,1.0,1.0,1.0,2.1776865229364457
16,1.4813866560888143,1.4106688000148666,1.3123669963597502,1.088452948060804,1.207496700984838,1.0003389183948845,1.4485310265839235,1.1463487938179755,2.5338327297192254,1.7638034547641765,1.7611304838830695,2.1446900464155085,1.0,1.0,1.0,2.5261575959559606
17,1.3855097471084172,1.2832814179331855,1.4787046874270058,1.176824232329814,1.187260956523316,0.9488500451230468,1.2960759013742675,1.0684990438968847,2.553748230593153,2.0080329951478895,1.6438605880825239,2.1386486890896688,1.0,1.0,1.0,2.3126470491687523
18,1.3435759329772032,1.21650340551565,1.5294111459332147,1.1370445988883633,1.2634747449723855,1.0927875532857463,1.2198049214586566,1.1137282102878108,2.0968852048199382,1.7914138819346128,1.383339986107006,1.8535752063106268,1.0,1.0,1.0,1.901649246522552
19,1.668999434546733,1.128906972012411,1.4195518914698273,1.249695655052126,1.1208989961644802,1.0403338899987113,1.1659717100545424,1.1202792504646026,2.8936750480783506,2.0840961136933847,1.9781031433537428,2.36820511949431,1.0,1.0,1.0,2.794681917876079
